rank,player,team,pos,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td
1,Jahmyr Gibbs,DET,RB,0,0,0,1413,14,68,546,3
2,Bijan Robinson,ATL,RB,0,0,0,1371,8,76,707,3
3,Ja'Marr Chase,CIN,WR,0,0,0,21,0,120,1507,11
4,Puka Nacua,LAR,WR,0,0,0,91,1,123,1586,10
5,Jonathan Taylor,IND,RB,0,0,0,1501,12,50,390,1
6,Jaxon Smith-Njigba,SEA,WR,0,0,0,25,0,117,1569,9
7,Christian McCaffrey,SF,RB,0,0,0,1128,9,79,678,5
8,Amon-Ra St. Brown,DET,WR,0,0,0,13,0,118,1425,10
9,James Cook III,BUF,RB,0,0,0,1403,11,36,302,2
10,CeeDee Lamb,DAL,WR,0,0,0,13,0,103,1376,7
11,Justin Jefferson,MIN,WR,0,0,0,11,0,111,1370,7
12,De'Von Achane,MIA,RB,0,0,0,1310,5,65,512,3
13,Omarion Hampton,LAC,RB,0,0,0,1085,9,52,363,2
14,Chase Brown,CIN,RB,0,0,0,1036,7,64,434,3
15,Saquon Barkley,PHI,RB,0,0,0,1284,9,43,371,2
16,Derrick Henry,BAL,RB,0,0,0,1505,13,21,210,1
17,Ashton Jeanty,LV,RB,0,0,0,1122,7,65,492,2
18,Drake London,ATL,WR,0,0,0,0,0,102,1249,7
19,Jeremiah Love,ARI,RB,0,0,0,1119,7,65,486,2
20,A.J. Brown,NE,WR,0,0,0,0,0,86,1218,7
21,Trey McBride,ARI,TE,0,0,0,0,0,108,1023,5
22,Brock Bowers,LV,TE,0,0,0,15,0,99,999,7
23,Nico Collins,HOU,WR,0,0,0,12,0,87,1196,7
24,Chris Olave,NO,WR,0,0,0,0,0,91,1194,7
25,Rashee Rice,KC,WR,0,0,0,43,1,92,1082,8
26,Josh Allen,BUF,QB,3947,26,12,580,12,0,0,0
27,George Pickens,DAL,WR,0,0,0,0,0,80,1115,8
28,Kenneth Walker III,KC,RB,0,0,0,1239,9,48,376,2
29,Garrett Wilson,NYJ,WR,0,0,0,11,0,100,1175,5
30,Breece Hall,NYJ,RB,0,0,0,1162,8,52,440,3
31,Javonte Williams,DAL,RB,0,0,0,1263,11,37,218,2
32,Kyren Williams,LAR,RB,0,0,0,1070,10,33,223,1
33,Malik Nabers,NYG,WR,0,0,0,23,0,85,1128,7
34,DeVonta Smith,PHI,WR,0,0,0,0,0,91,1129,6
35,Travis Etienne Jr.,NO,RB,0,0,0,1139,6,45,389,2
36,Tetairoa McMillan,CAR,WR,0,0,0,0,0,83,1182,6
37,Zay Flowers,BAL,WR,0,0,0,57,0,82,1170,5
38,Emeka Egbuka,TB,WR,0,0,0,12,0,70,1126,7
39,Quinshon Judkins,CLE,RB,0,0,0,1246,9,32,222,1
40,Ladd McConkey,LAC,WR,0,0,0,0,0,80,1039,6
41,Tee Higgins,CIN,WR,0,0,0,0,0,73,955,8
42,Colston Loveland,CHI,TE,0,0,0,0,0,81,900,5
43,Lamar Jackson,BAL,QB,3886,26,10,671,4,0,0,0
44,Davante Adams,LAR,WR,0,0,0,0,0,68,1013,11
45,Cam Skattebo,NYG,RB,0,0,0,1012,7,45,332,1
46,D'Andre Swift,CHI,RB,0,0,0,978,8,31,270,1
47,Bhayshul Tuten,JAX,RB,0,0,0,995,7,34,252,1
48,Jaylen Waddle,MIA,WR,0,0,0,12,0,77,993,6
49,Bucky Irving,TB,RB,0,0,0,990,5,37,294,2
51,Jayden Daniels,WSH,QB,3844,22,10,669,5,0,0,0
52,Drake Maye,NE,QB,4097,27,11,532,4,0,0,0
53,David Montgomery,HOU,RB,0,0,0,985,7,32,228,1
54,Jadarian Price,SEA,RB,0,0,0,923,8,27,212,1
55,Luther Burden III,CHI,WR,0,0,0,49,0,76,941,5
